1,2,journal,title
2023-01-17,2023-04-01,Current Psychology,Prediction of Color Coordinates of Cotton Fabric Dyed with Binary Mixtures of Madder and Weld Natural Dyes Using Artificial Intelligence
2022-08-07,2023-03-13,Current Psychology,Use of inactive Cochrane reviews in academia: A citation analysis
2022-09-17,2023-03-22,Current Psychology,Design and fabrication of interconnected 2D/3D NiS/Ni3S4 composites supercapacitor electrodes for energy storage applications
2021-12-29,2023-03-30,Current Psychology,Asymmetric Cryptosystem Based on Biological Mutation Operation in Chirp-Z Domain
2021-12-29,2023-03-30,Current Psychology,Asymmetric Cryptosystem Based on Biological Mutation Operation in Chirp-Z Domain
2022-12-29,2023-03-28,Current Psychology,Disrespect during childbirth and postpartum mental health: a French cohort study
2023-03-31,2023-04-01,Current Psychology,False discovery rate in laser studies
2022-09-12,2023-03-09,Current Psychology,Evaluation of the antiviral potential of gemini surfactants against influenza virus H1N1
2023-02-07,2023-03-28,Current Psychology,Prevalence and risk factors of depressive symptoms in children and adolescents with juvenile idiopathic arthritis
2023-01-21,2023-03-29,European Archives of Psychiatry and Clinical Neuroscience,Targeting myeloid-derived suppressor cells in combination with tumor cell vaccination predicts anti-tumor immunity and breast cancer dormancy: an in silico experiment
2022-09-24,2023-02-27,Academic Psychiatry,"Efficacy of single-session radiofrequency ablation (RFA) in rendering euthyroidism for persistent/relapsed Graves’ disease, a pilot study"
2022-09-30,2023-03-24,International Journal of Mental Health and Addiction,Synthesis and characterization of Ag-doped ZnO by one-step microwave-assisted hydrothermal methods
2022-05-28,2023-03-10,European Archives of Psychiatry and Clinical Neuroscience,"Exact traveling wave solutions of generalized fractional Tzitz
\(\acute{e}\)
ica-type nonlinear evolution equations in nonlinear optics"
2022-07-13,2023-03-23,"Cognitive, Affective, & Behavioral Neuroscience","Antimicrobial, Antibiofilm Activities and Synergic Effect of Triterpene 3β,6β,16β-trihydroxyilup-20(29)-ene Isolated from Combretum leprosum Leaves Against Staphylococcus Strains"
2022-09-13,2023-03-16,Psychological Research,Exploring in a climbing task during a learning protocol: a complex sense-making process
2022-12-08,2023-03-30,Psychological Research,Simultaneous assessment and training of an upper-limb amputee using incremental machine-learning-based myocontrol: a single-case experimental design
2022-10-12,2023-03-06,European Archives of Psychiatry and Clinical Neuroscience,Clinical and biological correlates of optical coherence tomography findings in schizophrenia
2022-12-16,2023-03-27,Current Psychology,Regionally high risk increase for precipitation extreme events under global warming
2023-01-17,2023-03-16,Academic Psychiatry,Establishment of a local diagnostic reference level for dental intraoral bitewing X-rays
2023-01-09,2023-03-19,Academic Psychiatry,Complete mitochondrial genome of the Chinese Callipogon (Eoxenus) relictus (Cerambycidae: Prioninae) with phylogenetic analyses
2022-08-09,2023-03-20,Current Psychology,ICOR: improving codon optimization with recurrent neural networks
2023-02-15,2023-03-27,Current Psychology,Feasibility of bedside portable MRI in neonates and children during ECLS
2022-12-23,2023-03-02,European Archives of Psychiatry and Clinical Neuroscience,Accessory pathways in monozygotic twins with different clinical phenotypes: a case report
2022-02-13,2022-10-03,International Journal of Mental Health and Addiction,"Health behaviors, obesity, and marital status among cancer survivors: a MEPS study"
2022-12-05,2022-12-06,International Journal of Mental Health and Addiction,ASO Author Reflections: Development of Natural Language Processing-Based Machine-Learning Algorithms to Identify Pathologic Complete Response from Surgical Pathology Reports
2022-06-28,2023-01-12,European Archives of Psychiatry and Clinical Neuroscience,Experimental characterization of the performance of MQL-assisted turning of solution heat-treated and aged Inconel 718 alloy
2022-06-06,2022-12-01,Psychological Research,Homogeneous domination-based lane-keeping control method for intelligent vehicle
2022-11-27,2023-01-15,Academic Psychiatry,"In-situ trace elements and Fe isotope compositions of magnetite in Gwanin Fe-Ti oxide deposit, South Korea"
2023-01-01,2023-01-01,International Journal of Mental Health and Addiction,Device indication for calcified coronary lesions based on coronary imaging findings
2022-03-18,2022-05-13,International Journal of Mental Health and Addiction,Producing malonate in Saccharomyces cerevisiae via the β-alanine pathway
2022-11-23,2023-01-18,International Journal of Mental Health and Addiction,Enriched functional milk fat ameliorates glucose intolerance and triacylglycerol accumulation in skeletal muscle of rats fed high-fat diets
2022-02-28,2023-02-13,International Journal of Mental Health and Addiction,Detecting cross-case associations in an event log: toward a pattern-based detection
2023-01-29,2023-02-02,International Journal of Mental Health and Addiction,Answer to the letter to the editor of A. Lawson McLean et al. concerning “Encrypted smartphone text messaging between spine surgeons may reduce after-hours surgery” by Persad AR et al. (Eur Spine J; 2022: doi:10.1007/s00586-022–07423-4)
2021-04-17,2021-11-19,"Cognitive, Affective, & Behavioral Neuroscience",Alternated inertial subgradient extragradient method for equilibrium problems
2022-04-22,2022-09-07,Current Psychology,Innovating on innovation training with the Virtual Magic Wand (VMW) program: a qualitative study
2022-10-26,2023-01-09,International Journal of Mental Health and Addiction,Numerical investigation of the arc properties in gas tungsten arc–based additive manufacturing
2022-10-17,2022-12-23,European Archives of Psychiatry and Clinical Neuroscience,Metabolic effects of diclofenac on the aquatic food chain – 1 H-NMR study of water flea-zebrafish system
