1,2,journal,title
2022-10-22,2022-12-16,"Cognitive, Affective, & Behavioral Neuroscience",The Bridge between Cybervictimization and Suicidal Ideation among Adolescents: A Vicious Cycle of Hopelessness
2022-11-30,2023-01-09,International Journal of Mental Health and Addiction,Proposed Recommendations for the Management of Depression in Adults with Epilepsy: An Expert Consensus
2022-08-11,2023-01-10,International Journal of Mental Health and Addiction,"Zebrafish, a biological model for pharmaceutical research for the management of anxiety"
2021-11-09,2022-02-14,International Journal of Mental Health and Addiction,Centering Asian American Women’s Health: Prevalence of Health Care Discrimination and Associated Health Outcomes
2022-03-15,2022-07-07,"Cognitive, Affective, & Behavioral Neuroscience",Daytime Light Deficiency Leads to Sex- and Brain Region-Specific Neuroinflammatory Responses in a Diurnal Rodent
2022-10-20,2023-01-17,International Journal of Mental Health and Addiction,"Pathophysiological basis and promise of experimental therapies for Gulf War Illness, a chronic neuropsychiatric syndrome in veterans"
2022-10-20,2023-01-17,Academic Psychiatry,"Pathophysiological basis and promise of experimental therapies for Gulf War Illness, a chronic neuropsychiatric syndrome in veterans"
2022-01-04,2022-05-10,Academic Psychiatry,Business intelligence using deep learning techniques for social media contents
2022-10-31,2023-01-05,Psychological Research,ReActiv8 Stimulation Therapy vs. Optimal Medical Management: A Randomized Controlled Trial for the Treatment of Intractable Mechanical Chronic Low Back Pain (RESTORE Trial Protocol)
2021-10-18,2022-08-04,International Journal of Mental Health and Addiction,Adequate Management of Autism Spectrum Disorder in Children in India
2022-09-27,2022-12-13,International Journal of Mental Health and Addiction,Therapeutic potential of melatonin and its derivatives in aging and neurodegenerative diseases
2022-12-17,2023-02-09,International Journal of Mental Health and Addiction,Cardiac Effects of Micrurus corallinus and Micrurus dumerilii carinicauda (Elapidae) Venoms and Neutralization by Brazilian Coralsnake Antivenom and Varespladib
2022-06-21,2022-10-30,"Cognitive, Affective, & Behavioral Neuroscience",The Buckling Strength of Axially Compressed Thin Circular Cylindrical Shells Subjected to Dent Imperfection
2022-06-21,2023-01-12,Current Psychology,Clinical outcomes and toxicities of locally advanced esophageal squamous cell carcinoma patients treated with early thoracic radiation therapy after induction chemotherapy
2022-07-12,2023-02-25,Current Psychology,Frequency and correlates of lifetime suicidal ideation and suicide attempts among consecutively hospitalized youth with anorexia nervosa and bulimia nervosa: results from a retrospective chart review
2022-12-01,2023-03-19,International Journal of Cognitive Therapy,The Effectiveness and Safety of Exenatide Versus Metformin in Patients with Polycystic Ovary Syndrome: A Meta-Analysis of Randomized Controlled Trials
2022-12-01,2023-03-19,Current Psychology,The Effectiveness and Safety of Exenatide Versus Metformin in Patients with Polycystic Ovary Syndrome: A Meta-Analysis of Randomized Controlled Trials
2022-11-17,2023-03-16,Current Psychology,"Behavioral phenotype, intestinal microbiome, and brain neuronal activity of male serotonin transporter knockout mice"
2022-01-28,2023-02-27,European Archives of Psychiatry and Clinical Neuroscience,Rapid Onset Gender Dysphoria: Parent Reports on 1655 Possible Cases
2022-03-16,2023-03-13,Current Psychology,Relationship between income and concerns about physical changes and help-seeking by older adult cancer survivors: a secondary analysis
2022-12-22,2023-02-24,Current Psychology,"Attending lectures in person, hybrid or online—how do students choose, and what about the outcome?"
