1,2,journal,title
2022-11-29,2023-02-24,"Cognitive, Affective, & Behavioral Neuroscience",Tumor inflammation-associated neurotoxicity
2022-12-02,2023-03-21,Current Psychology,Modified biodelignification method by sequential fungal treatment with sonication followed by hydrothermal processing in microcrystalline cellulose (MCC) production from sengon wood sawdust
2022-11-18,2023-03-20,Academic Psychiatry,"Characterization of temperature regimes in Western Europe, as regards the summer 2022 Western European heat wave"
2022-11-11,2023-03-13,Academic Psychiatry,Disperse Dyeing of Nylon with Spironaphthoxazines and the Evaluation of the Photochromic Performance Using a Novel Photochromic Assessment Methodology
2022-12-14,2023-03-13,Current Psychology,"The carbon footprint of common vegetarian and non-vegetarian meals in Portugal: an estimate, comparison, and analysis"
2022-08-24,2023-03-23,European Archives of Psychiatry and Clinical Neuroscience,Mechanism of lnRNA-ICL involved in lung cancer development in COPD patients through modulating microRNA-19-3p/NKRF/NF-κB axis
2020-07-21,2021-07-21,International Journal of Mental Health and Addiction,A Class of Retractable and Coretractable Modules
2021-04-29,2022-04-17,International Journal of Mental Health and Addiction,Assessment of the Effect of Micro Steel Fiber Reinforced Mortars on the Mechanical Properties of Masonry Walls
2022-05-02,2022-11-10,Current Psychology,Impact of intravascular ultrasound parameters and platelet reactivity on primary patency after drug-coated balloon angioplasty for femoropopliteal artery disease
2022-05-02,2022-11-10,International Journal of Mental Health and Addiction,Impact of intravascular ultrasound parameters and platelet reactivity on primary patency after drug-coated balloon angioplasty for femoropopliteal artery disease
2022-07-08,2022-11-12,Psychological Research,Influence of Silicon Carbide (SiC) Reinforcement on Sliding and Erosive Wear Characteristics of Glass Fiber/Epoxy Hybrid Composites
2022-06-03,2022-11-21,Academic Psychiatry,Seismic design optimization of engineering structures: a comprehensive review
2021-12-27,2022-03-26,Psychological Research,Single Incision Latissimus Dorsi Flap for Breast Reconstruction After Robot-Assisted Mastectomy: a Report of Three Cases
2022-06-22,2022-10-16,International Journal of Mental Health and Addiction,Utilization of Discrete Element Method in Multi-phase Soil Modeling for Soil Slope Stability Analysis
2022-09-21,2022-11-23,Psychological Research,A Systematic Review on Diabetic Retinopathy Detection Using Deep Learning Techniques
2022-01-31,2022-05-11,International Journal of Mental Health and Addiction,Mechanical properties investigation on the effect of 3D cross-links on polymer matrix reinforced by glass fiber
2022-07-31,2023-01-17,International Journal of Mental Health and Addiction,Design and torque calculation of permanent magnet eddy current coupling with sinusoidal torque output
2022-07-16,2022-10-19,International Journal of Mental Health and Addiction,Assessment of epicardial adipose tissue on virtual non-contrast images derived from photon-counting detector coronary CTA datasets
2021-03-08,2021-09-17,International Journal of Mental Health and Addiction,McKay Quivers and Lusztig Algebras of Some Finite Groups
2022-02-02,2022-04-21,International Journal of Mental Health and Addiction,The Efficient Knoevenagel Condensation Promoted by Bifunctional Heterogenized Catalyst Based Chitosan-EDTA at Room Temperature
2022-08-31,2023-01-14,"Cognitive, Affective, & Behavioral Neuroscience","Geophysical Data Inversion in a Gold-Rich Porphyry System: A Case Study of the Dalli Deposit, Iran"
2022-07-21,2023-01-14,International Journal of Mental Health and Addiction,Annealing-Mediated Microduplex Structure and Texture Evolution in Severely Cold-Rolled Nanolamellar Pearlite: A Perspective on the Effect of Starting Inter-lamellar Spacing
2022-05-24,2022-06-02,Psychological Research,The relationship between infarct volume and high sensitivity troponin I level in patients diagnosed with ischemic stroke
2022-06-05,2022-08-25,"Cognitive, Affective, & Behavioral Neuroscience",Bonebridge® bone conduction implant. Hearing outcomes and quality of life in patients with conductive/mixed hearing loss
2022-09-02,2022-12-08,International Journal of Mental Health and Addiction,"Evaluation of quality, readability, suitability, and usefulness of online resources available to cancer survivors"
2022-06-28,2023-01-22,"Cognitive, Affective, & Behavioral Neuroscience",Thermo-Mechanically Assisted Grain Growth in Ti6Al4V Fabricated Using the Powder Bed Additive Manufacturing During High-Temperature Mechanical Testing
2022-05-10,2022-12-01,"Cognitive, Affective, & Behavioral Neuroscience","Screening behaviours, demographics, and stage at diagnosis in the publicly funded Ontario Breast Screening Program"
2022-05-01,2022-11-28,"Cognitive, Affective, & Behavioral Neuroscience",A Multi-compartment Mathematical Model for HIV–AIDS Transmission and Dynamics
