1,2,journal,title
2022-10-01,2023-01-06,Clinical Child and Family Psychology Review,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Research on Child and Adolescent Psychopathology,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Archives of Gynecology and Obstetrics,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Journal of Family Violence,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Molecular Neurobiology,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Community Mental Health Journal,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Neurochemical Research,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Research on Child and Adolescent Psychopathology,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Clinical Child and Family Psychology Review,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Research on Child and Adolescent Psychopathology,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Archives of Gynecology and Obstetrics,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Journal of Family Violence,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Molecular Neurobiology,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Community Mental Health Journal,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Neurochemical Research,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2022-10-01,2023-01-06,Research on Child and Adolescent Psychopathology,Blocking Two-Pore Domain Potassium Channel TREK-1 Inhibits the Activation of A1-Like Reactive Astrocyte Through the NF-κB Signaling Pathway in a Rat Model of Major Depressive Disorder
2021-11-09,2022-12-12,Social Psychiatry and Psychiatric Epidemiology,Parallel latent trajectories of mental health and personal earnings among 16- to 20 year-old US labor force participants: a 20-year longitudinal study
