1,2,journal,title
2021-12-23,2022-11-01,Psychological Research,Low prevalence of haemosporidian and trypanosome infections in the Eurasian Nightjar (Caprimulgus europaeus)
2022-08-15,2023-03-08,Current Psychology,Reproductive Strategy of the Annual Fish Leptopanchax Opalescens (Rivulidae) and Trade-Off Between Egg Size and Maximum Body Length in Temporary Wetlands
2022-08-15,2023-03-08,Current Psychology,Reproductive Strategy of the Annual Fish Leptopanchax Opalescens (Rivulidae) and Trade-Off Between Egg Size and Maximum Body Length in Temporary Wetlands
2022-11-03,2023-02-02,European Archives of Psychiatry and Clinical Neuroscience,A review on biochemical constituents of pumpkin and their role as pharma foods; a key strategy to improve health in post COVID 19 period
2022-07-08,2023-01-15,European Archives of Psychiatry and Clinical Neuroscience,"Brain malformations in diprosopia observed in clinical cases, museum specimens and artistic representations"
2022-06-16,2023-02-23,Academic Psychiatry,"A self-monitoring wellbeing screening methodology for keyworkers, ‘My Personal Wellbeing’, using an integrative wellbeing model"
2022-09-02,2023-02-21,European Archives of Psychiatry and Clinical Neuroscience,"Sleep, physical activity, and sedentary behaviors as factors related to depression and health-related quality of life among older women living alone: a population-based study"
2023-01-31,2023-03-05,Current Psychology,A novel approach for ultrasensitive amperometric determination of NADH via graphene-based electrode obtained by electrochemical intercalation of tetraalkylammonium ions
2022-11-06,2023-02-23,Current Psychology,Eating disorders during lockdown: the transcultural influence on eating and mood disturbances in Ibero-Brazilian population
2022-11-06,2023-02-23,Current Psychology,Eating disorders during lockdown: the transcultural influence on eating and mood disturbances in Ibero-Brazilian population
2022-12-19,2023-02-26,Current Psychology,Development of a machine learning algorithm to identify surgical candidates for hip and knee arthroplasty without in-person evaluation
2022-12-06,2023-02-17,Current Psychology,"Maternal e-cigarette use can disrupt postnatal blood-brain barrier (BBB) integrity and deteriorates motor, learning and memory function: influence of sex and age"
2022-12-06,2023-02-17,Current Psychology,"Maternal e-cigarette use can disrupt postnatal blood-brain barrier (BBB) integrity and deteriorates motor, learning and memory function: influence of sex and age"
2022-04-11,2023-02-22,Current Psychology,"Prevalence of potentially traumatic events and symptoms of depression, anxiety, hazardous alcohol use, and post-traumatic stress disorder among people with HIV initiating HIV care in Cameroon"
