1,2,journal,title
2021-11-22,2022-11-08,Current Psychology,Location attributes explaining the entry of firms in creative industries: evidence from France
2022-12-27,2023-03-21,Academic Psychiatry,Progress in the study of parvovirus entry pathway
2022-03-28,2022-12-11,Academic Psychiatry,Ecophysiology and multivariate analysis for production of Tachigali vulgaris in Brazil: Influence of rainfall seasonality and fertilization
2022-08-23,2023-03-16,Current Psychology,Measures of noncompactness in the study of solutions of infinite systems of Volterra-Hammerstein-Stieltjes integral equations
2023-01-04,2023-03-28,Current Psychology,"Biocompatibility, bioactive potential, porosity, and interface analysis calcium silicate repair cements in a dentin tube model"
2022-11-28,2022-12-02,International Journal of Mental Health and Addiction,ASO Author Reflections: Outcomes Support Aggressive Surgery for Early-Onset Pancreatic Cancer
2022-05-18,2022-11-12,International Journal of Mental Health and Addiction,Implementing and sustaining a breast cancer prospective surveillance rehabilitation program: an institutional perspective
2021-12-17,2022-10-25,Current Psychology,Isometric Extensions of Anosov Flows via Microlocal Analysis
2021-12-17,2022-10-25,International Journal of Mental Health and Addiction,Isometric Extensions of Anosov Flows via Microlocal Analysis
2022-08-12,2022-10-11,Psychological Research,Oncoplastic breast surgery in elderly primary breast cancer: time to serve more surgically?
2022-04-13,2022-07-21,Academic Psychiatry,Clavien–Dindo classification and risk prediction model of complications after robot-assisted radical hysterectomy for cervical cancer
2023-01-01,2023-01-01,International Journal of Mental Health and Addiction,Device indication for calcified coronary lesions based on coronary imaging findings
2021-11-25,2022-08-16,Psychological Research,"Relativistic k-fields with massless soliton solutions in 
\(3+1\)
 dimensions"
2022-03-28,2022-05-06,International Journal of Mental Health and Addiction,Development of surface displaying system for heterologous protein expression in Candida tropicalis
2022-05-24,2022-10-14,International Journal of Mental Health and Addiction,Random Cluster Model on Regular Graphs
2022-02-05,2023-02-22,Academic Psychiatry,A study on the spatial and temporal evolution of multi-year extreme precipitation in the Huaihe River Basin
2022-06-26,2022-10-25,Psychological Research,Inhibition of PD-1 Alters the SHP1/2-PI3K/Akt Axis to Decrease M1 Polarization of Alveolar Macrophages in Lung Ischemia–Reperfusion Injury
2022-07-22,2022-12-13,Current Psychology,COVID-19 detection based on self-supervised transfer learning using chest X-ray images
2022-10-10,2023-03-13,International Journal of Mental Health and Addiction,Diversified pottery use across 5th and 4th millennium cal BC Neolithic coastal communities along the Strait of Gibraltar
2022-10-17,2023-02-01,International Journal of Mental Health and Addiction,Characterization and antioxidant activities of glycosaminoglycans from dried leech
2022-06-07,2022-11-30,"Cognitive, Affective, & Behavioral Neuroscience",Establishing a Design Strategy for Corrosion Resistant Structural Materials in Molten Salt Technologies
2022-04-04,2022-12-05,"Cognitive, Affective, & Behavioral Neuroscience",WATB: Wild Animal Tracking Benchmark
2023-01-23,2023-03-12,International Journal of Mental Health and Addiction,Emerging healthy lifestyle factors and all-cause mortality among people with metabolic syndrome and metabolic syndrome-like characteristics in NHANES
2020-04-13,2022-07-15,"Cognitive, Affective, & Behavioral Neuroscience",De Giorgi type results for equations with nonlocal lower-order terms
2022-10-27,2023-01-31,"Cognitive, Affective, & Behavioral Neuroscience",Time-Dependent Evolution of Volume Fraction and Stability of Retained Austenite in a Hot-Rolled and Intercritically Annealed Al-Alloyed Medium-Mn Steel
2021-10-25,2022-09-23,International Journal of Mental Health and Addiction,A Feature Extraction Algorithm Based on Optimal Neighborhood Size
2022-01-23,2022-05-16,International Journal of Mental Health and Addiction,Role of non-ASA VTE prophylaxis in risk for manipulation following primary total knee arthroplasty
2022-01-31,2022-06-13,Academic Psychiatry,Mechanism of Cone Degeneration in Retinitis Pigmentosa
2022-09-22,2023-03-20,"Cognitive, Affective, & Behavioral Neuroscience",A set of SSR markers to characterize genetic diversity in all Viburnum species
2022-09-22,2022-11-23,International Journal of Mental Health and Addiction,A Streamlined Diagnostic Process Improved the Outcomes of Patients with Adult-Onset Still’s Disease: A Single-Center Retrospective Observational Study
